,scen0_dis,scen1_dis,scen2_dis,scen3_dis,scen4_dis,scen5_dis,scen6_dis,scen7_dis,scen8_dis
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.009637850467289719,0.009637850467289719,0.009637850467289719,0.009637850467289719,0.009637850467289719,0.009637850467289719,0.009637850467289719,0.009637850467289719,0.009637850467289719
2,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.00974025974025974,0.00974025974025974
3,0.00965476887068461,0.00965476887068461,0.00965476887068461,0.00965476887068461,0.00965476887068461,0.00965476887068461,0.00965476887068461,0.00965476887068461,0.00965476887068461
4,0.011360341668085788,0.011360341668085788,0.011360341668085788,0.011360341668085788,0.011360341668085788,0.011360341668085788,0.011360341668085788,0.011360341668085788,0.011360341668085788
5,0.012590549967864129,0.012590549967864129,0.012590549967864129,0.012590549967864129,0.012590549967864129,0.012590549967864129,0.012590549967864129,0.012590549967864129,0.012590549967864129
6,0.014138438880706922,0.014138438880706922,0.014138438880706922,0.014138438880706922,0.014138438880706922,0.014138438880706922,0.014138438880706922,0.014138438880706922,0.014138438880706922
7,0.016089738567471527,0.016089738567471527,0.016089738567471527,0.016089738567471527,0.016089738567471527,0.016089738567471527,0.016089738567471527,0.016089738567471527,0.016089738567471527
8,0.017604617604617605,0.017604617604617605,0.017604617604617605,0.017604617604617605,0.017604617604617605,0.017604617604617605,0.017604617604617605,0.017604617604617605,0.017604617604617605
9,0.020348837209302327,0.020348837209302327,0.020348837209302327,0.020348837209302327,0.020348837209302327,0.020348837209302327,0.020348837209302327,0.020348837209302327,0.020348837209302327
10,0.022322175758946308,0.022322175758946308,0.022322175758946308,0.022322175758946308,0.022322175758946308,0.022322175758946308,0.022322175758946308,0.022322175758946308,0.022322175758946308
11,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025
12,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726,0.0273972602739726
13,0.03105232892466935,0.03105232892466935,0.03105232892466935,0.03105232892466935,0.03105232892466935,0.03105232892466935,0.03105232892466935,0.03105232892466935,0.03105232892466935
14,0.034944670937682006,0.034944670937682006,0.034944670937682006,0.034944670937682006,0.034944670937682006,0.034944670937682006,0.034944670937682006,0.034944670937682006,0.034944670937682006
15,0.03898354028299163,0.03898354028299163,0.03898354028299163,0.03898354028299163,0.03898354028299163,0.03898354028299163,0.03898354028299163,0.03898354028299163,0.03898354028299163
16,0.043565491544855256,0.043565491544855256,0.043565491544855256,0.043565491544855256,0.043565491544855256,0.043565491544855256,0.043565491544855256,0.043565491544855256,0.043565491544855256
