,scenM1,scenM2,scenM3
0,0.00969066,0.00969066,0.00969066
1,0.009681277,0.009681277,0.009681277
2,0.011397700162088856,0.011397700162088856,0.011397700162088856
3,0.01261847,0.01261847,0.01261847
4,0.014299332697807437,0.014299332697807437,0.014299332697807437
5,0.015026455026455027,0.015026455026455027,0.015026455026455027
6,0.015533365737012216,0.015533365737012216,0.015533365737012216
7,0.016995083189415172,0.016995083189415172,0.016995083189415172
8,0.018654997030855963,0.018654997030855963,0.018654997030855963
9,0.020992366,0.020992366,0.020992366
10,0.021626646833829154,0.021626646833829154,0.021626646833829154
11,0.022076891641589845,0.022076891641589845,0.022076891641589845
12,0.024941478,0.024941478,0.024941478
13,0.02581262,0.02581262,0.02581262
14,0.028708133971291867,0.028708133971291867,0.028708133971291867
15,0.030843953748933933,0.030843953748933933,0.030843953748933933
16,0.034561343,0.034561343,0.034561343
17,0.039385207,0.039385207,0.039385207
18,0.042705402084737026,0.042705402084737026,0.042705402084737026
19,0.043209153785589295,0.043209153785589295,0.043209153785589295
20,0.047105445,0.047105445,0.047105445
21,0.050942237166637414,0.050942237166637414,0.050942237166637414
22,0.056567593,0.056567593,0.056567593
23,0.061420345489443376,0.061420345489443376,0.061420345489443376
24,0.06820365,0.06820365,0.06820365
25,0.074038462,0.074038462,0.074038462
26,0.080571137,0.080571137,0.080571137
27,0.087700024,0.087700024,0.087700024
28,0.09146914,0.09146914,0.09146914
29,0.1002152891903402,0.1002152891903402,0.1002152891903402
30,0.10642837670643991,0.10642837670643991,0.10642837670643991
31,0.11697118404967312,0.11697118404967312,0.11697118404967312
32,0.12829839276266145,0.12829839276266145,0.12829839276266145
33,0.1411085860995221,0.1411085860995221,0.1411085860995221
34,0.15538921298108596,0.15538921298108596,0.15538921298108596
35,0.16890329496217898,0.16890329496217898,0.16890329496217898
36,0.18759071117561685,0.18759071117561685,0.18759071117561685
37,0.20455587475961146,0.20455587475961146,0.20455587475961146
38,0.22069918345803968,0.22069918345803968,0.22069918345803968
